,GSM160306,GSM160307,GSM160308,GSM160309,GSM160310,GSM160311
31912_at,-107.7,-185.1,-79,-146.1,-215.7,-82
31913_at,-55.4,-144,-142.9,-84.4,-73.7,-90.3
31914_at,-18,-28.2,-9.1,-42.8,-14.9,-8.1
31915_at,43,89.9,4.3,35,34.3,57.1
31916_at,-7.4,-40.8,-7.5,-7.8,-27.1,-8.4
31917_at,16,34.7,7.5,21.3,-24,38.8
31918_at,71.5,95,42.4,80.1,79.6,76.3
31919_at,17,14.4,10.4,27.1,18.3,11.8
31920_at,37.8,35.3,6.6,34.7,27,29.5
31921_at,304.1,289.2,85.7,484.8,350.1,317.1
31922_i_at,19,18.3,5.8,26.4,19.6,2.8
31923_f_at,96.9,89.2,36.7,128.3,90,78.4
31924_at,-38.6,-4.6,-0.9,-32.1,-37,-24.2
31925_s_at,141.7,160.8,91.5,123.4,225,245.8
31926_at,-3.8,0.3,-5.6,-0.5,2.2,6.3
31927_s_at,40.7,61.5,24.3,109,85,110.8
31928_at,-89.7,-117.7,10.3,-48.9,-64.9,-19.8
31929_at,-24.1,-19.1,-10.7,-15.5,-19.4,-5.7
31930_f_at,104.7,131.4,55.5,71.8,89.6,104
31931_f_at,89.2,-17,-2,85.9,-10.8,101.2
31932_f_at,316.5,410.1,105,406.4,302.2,332.9
31933_r_at,-319.8,-436.6,-184.5,-236.7,-333.7,-236.1
31934_at,2.2,-3.1,-1.9,-2,7.9,2.4
31935_s_at,216.6,321.1,129.1,214.1,238.7,325.2
31936_s_at,391.1,565.5,250.5,711.6,639.3,622.3
31937_at,-17.5,-8.9,-16.6,-7.1,-9,12.8
31938_g_at,5.4,4.7,0.8,10.5,6.8,6.3
31939_at,21.8,2,-2.6,2.6,-9.9,-0.7
31940_s_at,-62.6,9.5,-0.7,23.4,17.9,-8.7
31941_s_at,99.6,96.1,14.1,38,140,61.2
31942_at,131.1,160.4,67.5,119.1,158.8,126.9
31943_g_at,31.1,22.8,1.3,33,17.7,30.1
31944_at,39.2,82,34.8,150.8,19.5,68.3
31945_s_at,-2.7,-4.6,-3.2,6.9,-3.5,-17.7
31946_s_at,131.7,183.8,52.3,101.6,123.4,221.6
31947_r_at,-624.2,-323.5,-756,-319.2,-779.7,-837
31948_at,135.6,133.6,53.9,177.2,110.3,97.4
31949_at,92,185.7,87.1,175.1,217.3,212.8
31950_at,1175.6,994.8,343,1502.9,619.3,652
31951_s_at,1205.1,1219.9,503.1,1193.9,738.9,1021
31952_at,2927.7,3108.9,1170.9,3697.3,2342,1970.9
31953_f_at,3.3,8.4,-2.9,1.8,10.4,-2.1
31954_f_at,-33.4,-24.7,-5.5,-34.8,-11.9,-24.6
31955_at,1369.7,1435.8,525.3,1782.9,1342.9,1323.3
31956_f_at,3459.3,3226.7,1375.5,4320.8,2501.9,2375.5
31957_r_at,3275,3733.6,1451.9,4333.3,3244.8,2727.5
31958_i_at,-61.1,-75.8,-29.5,-63.9,-63.8,-62.2
31959_at,-22.3,-19.1,-4.1,-20.4,-25.9,-16.6
31960_f_at,-4.5,-0.3,-5.4,24.9,5.5,28.5
31961_r_at,173.3,212.8,93.9,213.5,241.4,181.5
31962_at,8330.4,8324,3942.4,10215,7942,6034
31963_at,-1.1,-10.4,1.4,8.4,-6.1,-9.1
31964_at,5,6.8,4.4,2.3,-18.4,-6.8
31965_at,-59.8,-122.9,-76,-11,-86.4,-113.2
31966_at,-10.5,-12.5,-1.8,-20.7,-10.2,-10.5
31967_at,52.4,38.9,25,38.9,37.8,29.4
31968_at,4.2,7.8,-4.4,-12.1,8.4,-4.8
31969_i_at,-7,-4.9,0.9,-3.9,-14.3,-17
31970_r_at,-19.6,-17.9,-1.4,-0.8,-14.3,-3.5
31971_at,-20,5,19,20.8,-32.6,-62.5
31972_at,-13.3,-5.6,-1.5,-7.2,-10.5,-5.4
31973_at,-8.9,-52.7,-26.1,-41.6,-18.9,-59.8
31974_at,215.8,224,37.5,-116.6,255.7,253.6
31975_at,320.2,252.1,112,279.8,226.8,209.4
31976_at,14,20.9,5.2,25.4,23.4,13.6
31977_at,-16.5,-26.1,16.8,-45.4,-17.8,-27.1
31978_at,9.8,31.3,25,18.3,20.6,48.1
31979_at,-13,-17.7,-1.3,3.4,-16,2.9
31980_at,-113.6,-313.2,-145.1,-365.8,-124.4,-156.9
31981_at,-166.6,-237,-130.6,-258.6,-201.1,-190.5
31982_at,78.1,36.3,20.8,36.5,28.8,22.3
31983_at,19.2,8.3,15.7,-14.8,-0.3,2.4
31984_at,0.6,-17.7,0.3,-2.8,6.1,-3.8
31985_at,-6.2,11.8,4.7,2.4,7.6,4.9
31986_at,29.7,24.3,2.8,-1.3,12.8,17.5
31987_at,23.3,25.5,-10.2,38.8,26.7,19.4
31988_at,-35,-41.6,-12.6,-7.5,-4.1,-50.8
31989_s_at,2.6,9.1,-7.6,3.8,7.2,13.1
31990_at,-11.2,13.4,95.7,101.3,15.5,-0.4
31991_at,216.4,295.9,129.4,274.7,236.3,254.1
31992_f_at,-77,-44.3,-51.5,-52.5,-48.2,-52.3
31993_f_at,101.1,255,81.2,203.7,98.4,113.8
31994_at,-5.2,-9.9,-1.7,-29.9,-8.2,-4
31995_g_at,-21.7,12.3,-10.2,-33.2,-21.3,-30.3
31996_at,127.1,149.1,31.7,122.9,88.1,232.3
31997_at,42,20.5,40.9,55.6,26.1,15.4
31998_at,8.3,3.6,-3.4,-5.1,14,9.4
31999_at,37.2,42.3,25.9,-15.4,47.1,41.6
319_g_at,1427.8,1306.7,439.2,1175.8,1322.7,1510.3
32000_g_at,293.1,296.2,69.6,271.5,263.8,237.6
32001_s_at,87.9,147.7,60.4,241.6,222.9,89.7
32002_at,-43.9,28.4,25.7,175.6,30.3,31.5
32003_at,182.9,276.2,183.9,205.9,122.6,56.1
32004_s_at,201.8,188.1,75,300,209.9,210.1
32005_at,-21.1,-3.5,-13.6,-23.2,-7.6,-17.3
32006_r_at,-71.8,-85,-27.9,25.6,-70.5,-51.4
32007_at,665.8,803,198.7,389.7,701,442.9
32008_at,3.7,0.6,2.8,-2.1,3.4,13.5
32009_at,-49.8,-74.8,-29.4,39.8,-46.3,2.1
32010_at,130.5,165.9,79.2,72.1,147.4,162.1
32011_g_at,4.1,8.8,-14.1,113,24.4,-4.1
32012_at,26.2,-1.5,-17.6,-0.9,10.2,-7.2
32013_at,6.7,-5.5,17.8,4.7,-8.4,-4.7
32014_at,-1,-20.5,-5.2,-18.8,-5.2,-8.8
32015_at,-12,-20.2,2.5,-9.3,-10.3,-12.7
32016_at,82.9,79.3,7.6,65.1,91.3,80.7
32017_at,23.3,28.2,10.3,29.5,42.9,29.9
32018_at,-5.9,-7.4,-10.2,-0.9,-6,-5.4
32019_at,35.8,46.2,2.3,30,45.2,27.5
32020_at,-8.1,-17.6,-6.7,-8.5,-17.1,-4.2
32021_at,38,26.6,-26.1,78,8.7,16.7
32022_at,9,19.9,8.8,13.1,22.8,7.9
32023_at,2.5,-18.9,-12.8,-18.1,-3.9,-5.7
32024_at,52,56.5,26,54.7,45.9,38
32025_at,-194.7,-46.3,-123.6,-193.5,-93.3,-51.2
32026_s_at,1213.2,1438.5,537.1,1598.4,1640.2,1545
32027_at,11.9,12.2,13,3.2,5.8,2.8
32028_at,69.2,100.6,47.6,70.8,85.1,51
32029_at,675,504.3,208.3,870,509.1,432.1
32030_at,70.6,68.1,-5.6,85.8,60.1,153.4
32031_at,189,187.4,13.5,138.4,130.9,176.7
32032_at,81.9,107.4,32.7,176.6,87,95
32033_at,4,161.5,12.4,144.4,100.6,41.2
32034_at,-7.5,-18.3,-3.5,2.8,-5.1,-13.3
32035_at,109.1,62.1,24.1,81.2,75.1,61.5
32036_i_at,109.2,77.2,33.5,79.8,105,54.1
32037_r_at,85.7,82.5,58.3,93.5,67.8,66.4
32038_s_at,304.1,404.9,104.6,337.5,407.3,396
32039_at,162.9,192.3,106.7,221.5,143.4,183.3
32040_i_at,6.1,0.5,3.4,10.7,7.3,7.3
32041_r_at,25.4,23.9,2.5,19.7,16,18.5
32042_at,24.6,34.5,25.3,57.1,41.9,38.2
32043_at,96.1,53,31,46,44.3,43.6
32044_at,112.6,119,27.3,95.8,132.6,138.8
32045_at,65.1,33.9,65.4,141,-34.9,54.9
32046_at,268.7,226.8,60.3,195.8,184,148.8
32047_at,165.3,201,12.6,61.2,104.8,100.3
32048_at,182.5,278,87.3,205.7,232.7,239.9
32049_f_at,21.7,16.6,4.1,29.3,24.6,31.3
32050_r_at,7.5,20.1,9,9.7,17.1,6.6
32051_at,158.3,128.2,29.6,123.5,134.7,122.2
32052_at,5259.5,2702.7,2609.6,9303.6,1646.3,3176.6
32053_at,91.2,58.4,26.3,74.8,63.2,52.3
32054_at,-26.2,-22.6,-10.8,-6.5,5.6,-28.2
32055_g_at,13.9,7.1,15.5,9.3,17,15.2
32056_at,27.6,116.5,91.4,481.3,327.1,200.8
32057_at,6.1,12.1,0.5,-5.4,10.2,13.4
32058_at,159.4,207,81.6,169.8,199.2,249.3
32059_at,277.3,216.1,88.6,188.9,212.3,212.8
32060_at,72,33.7,15.8,19.1,25.8,38.4
32061_at,88.1,71.7,23.9,74.4,49.2,85.8
32062_at,630.9,649.9,35.8,916.9,676.8,646.5
32063_at,251.4,290.7,120.5,200.8,255.9,260.1
32064_at,15.4,22.5,18.1,43.5,18.4,41.1
32065_at,351.5,269.3,275.9,574.3,194.3,231.5
32066_g_at,496.7,274.3,191.9,541.5,221.9,245
32067_at,271,140.1,107.1,359,100.6,145.8
32068_at,52.7,3.5,-31.7,-0.6,10.2,-1.8
32069_at,181,139.1,72.4,142.3,115.9,120.1
32070_at,-181.3,-266.5,-144.6,30.1,-284.9,-189.7
32071_at,170.2,133.1,12,141.5,136,108.9
32072_at,54.8,62.2,11.3,-91.9,-44.8,49.7
32073_at,128.5,103.8,15,117.8,62.2,27.9
32074_at,22.8,28.1,29.5,44.9,31.5,45.1
32075_at,117.2,142.1,45.4,110.2,127.3,137.1
32076_at,667.2,1349,484.8,1176.7,1996.9,1880.1
32077_s_at,-136.2,-164.3,-70.9,-130.9,-150.5,-122
32078_at,5.3,-3.4,-17.5,2.2,-13.5,-11.8
32079_at,47.6,85,51.9,157.7,78.8,55.3
32080_at,868.1,793.4,580.3,1043.4,986.3,783.9
32081_at,335,298,84.9,353.3,300.6,331.7
32082_at,54.3,83.1,36.5,87.8,84.4,62.9
32083_at,41.4,39.8,19.8,58.6,32.7,50.4
32084_at,117.5,129.7,44.7,104.5,122,116.1
32085_at,226.7,310.5,79,241.4,279.5,277.2
32086_at,116.7,60.4,55.6,135.8,42.9,56.5
32087_at,191.3,170.2,97.8,139,148.9,213.7
32088_at,33.9,19.6,20.1,48.3,17,11.7
32089_at,1.4,-3.9,8.5,30.7,11.5,20.3
32090_at,701.1,911,234.9,905.4,975.5,1068.7
32091_at,320.7,417,163.3,463.8,545.9,385.8
32092_at,1694.1,1849.1,848,1747.8,1337.2,1667.9
32093_at,733.6,822.1,287.2,730.2,536.3,905.4
32094_at,272.6,313.7,74.8,244.1,194.1,274.2
32095_at,-69,67.5,4,-28.2,69.3,-1.5
32096_at,-37.7,-143,-15.8,-109.2,-116.1,169.1
32097_at,294.3,185.1,13.2,147,130.7,114.5
32098_at,-396,-436.3,-125.2,-315.9,-320.2,-419
32099_at,323.8,191.6,100.3,289.2,191.1,212.2
320_at,118.6,92,39.6,114.2,115.5,112.1
32100_r_at,60.4,520.4,443.5,18.8,49.3,391.9
32101_at,-231.2,-253.3,0.4,7.7,-304.7,-309.6
32102_at,366.4,438.9,175.8,472.5,608,573.4
32103_at,10.7,12.4,-32.5,31.8,7.2,18.4
32104_i_at,584.4,1001.4,312.9,831,1559.7,1259.6
32105_f_at,307.9,562.2,166.9,654.7,1031.1,971.6
32106_at,84.3,114.1,57.6,86.9,89,85.7
32107_at,56.5,98,-2.3,37.7,54.7,150.5
32108_at,66.4,82.7,28.3,43.8,22.6,50.7
32109_at,106.6,432.7,18.5,210.2,194.1,369.3
32110_at,35.1,47.2,20.7,58.2,28.5,42
32111_at,153.4,194.6,64.7,165.2,150.3,214.3
32112_s_at,16.5,-8.9,1.9,-1.2,-12.1,-7.2
32113_at,1.5,-11.1,-6.3,3.7,8.9,2.5
32114_s_at,84.3,10.4,-10,2.2,5.9,-18.7
32115_r_at,2.2,43.7,-118.1,-234.1,43.7,22.5
32116_at,0.6,97.3,-48.7,-34.4,-52.4,2.8
32117_at,300.6,327.1,158,334.2,332.3,374.3
32118_at,0.6,-1.5,16,37,-7.3,-2.3
32119_at,140.7,303.8,128.2,257.7,152.8,227
32120_at,44.3,3.9,-2.1,63.4,23.3,13.3
32121_at,-12.7,-82.3,1,-23.1,-65.5,-37.9
32122_at,108.8,129,38.4,137.6,105.2,107.4
32123_at,96.1,75,49,67.5,82.3,44.9
32124_at,84.7,91.8,33.9,59.3,77.5,71.5
32125_at,130.3,48.4,14.1,39.6,58.7,21.2
32126_at,9.9,33.8,6.7,17.1,17.3,11
32127_at,49,55.8,25.7,63.8,32,25.1
32128_at,101.7,125.8,18.3,48.8,118.8,78.3
32129_at,450.6,579.5,181.8,513.5,605.6,403.3
32130_at,48,44.4,18.3,56.9,55.3,76.3
32131_at,85.3,126,39.2,122,87.4,76.4
32132_at,303,297.3,100.2,283.6,237.6,287.2
32133_at,929.7,785.8,335.5,910.8,912.9,965.9
32134_at,15,21.5,8.6,25.9,3.4,23.2
32135_at,195.8,34.3,4.9,175.2,-25.6,165.7
32136_r_at,9.4,9.3,0.9,12.2,4.3,7.8
32137_at,507.9,415.5,154.6,395.1,271,394.2
32138_at,3287.6,3339.2,1231.4,3106.6,4944.2,4559.8
32139_at,-21.3,10.5,-7.4,4.9,-6.6,-75.5
32140_at,2005.7,1731.4,528.3,1740.4,2752.6,1929.8
32141_at,205.6,212,95.8,93.8,218.7,235.3
32142_at,8.8,2,2.8,5.3,1.1,5.7
32143_at,-30,-53.1,-29.2,-14.4,-50.7,-42.7
32144_at,31.7,111.4,10.6,104,113.2,104.5
32145_at,1632.8,2065.2,643,2302.6,2051.9,2147
32146_s_at,38.2,116,48.5,144.8,132.8,225.4
32147_at,2.9,-5.6,-0.3,-13.4,-2.5,6.4
32148_at,569.7,402.4,151.8,378.1,258.7,602.8
32149_at,1.9,7.4,-7.3,4.6,9.8,-0.7
32150_at,262.7,162.6,92.7,239.9,255.3,251.1
32151_at,728.3,578.7,191.5,634.7,901.9,906.7
32152_at,102.6,124.6,46.3,130.5,108.6,122
32153_s_at,4935,5387.1,2483.5,6834.8,6144.8,5528.6
32154_at,-55.1,-60.5,-16.8,-48.2,-54.9,-66.5
32155_at,-3.1,-3.5,-1.3,0.2,-4.5,9.2
32156_at,201.7,178.5,82.1,101.9,92.9,119.9
32157_at,479.4,361.9,84,478.8,452.5,457.4
32158_at,12.8,9.6,5,12.5,13.1,19.4
32159_at,207.5,191,58.1,182.8,181.1,173.2
32160_at,247,323.8,68.3,233.7,225.8,276.6
32161_at,25.4,28.1,13.7,42.8,15.7,22.2
32162_r_at,-12,-114.3,-17.4,105,-12.1,81.9
32163_f_at,15.3,3.9,-7.5,-0.9,-2.4,7.1
32164_at,172.7,249.2,60.6,152.4,129.9,82.3
32165_at,475.6,368.7,174.8,482.9,331.5,425.8
32166_at,524.7,267.4,180.8,496.2,261.7,208.9
32167_at,117.4,114,33.8,56,91,158.9
32168_s_at,242.7,210.2,72.8,198.9,207.7,181.6
32169_at,363.3,447.9,153.7,429.1,535,704.6
32170_g_at,38.8,64,25.4,35.7,84.8,108.2
32171_at,353.9,401.6,132.2,437.9,472,406.8
32172_at,164.9,101.7,48.4,254.3,83.4,109
32173_at,375,616.9,231.8,518,407,724
32174_at,-22.2,179,7.1,158.2,-80.6,62.9
