,GSM160306,GSM160307,GSM160308,GSM160309,GSM160310,GSM160311
1000_at,951.6,985.7,265.1,956.1,508.9,1090.9
1001_at,92.7,66.2,25,69.5,50.1,52.1
1002_f_at,40.1,29.7,20,46.3,21,39.1
1003_s_at,-11.4,-19.6,-18.1,-85.1,5.6,-225.6
1004_at,20.3,35.2,20.1,-27.9,-4.4,-21
1005_at,637.1,90.8,182.3,688.4,138.2,151.4
1006_at,20.2,-11.2,9.3,20.3,23.2,23.9
1007_s_at,581,587.1,180.4,724.4,424.4,622.5
1008_f_at,224.1,297.8,277.3,308.6,355,310.2
1009_at,2488,3052.6,1021.3,2547.2,3126.6,2632.7
100_g_at,286.2,371.1,104.7,277.2,373.3,366.9
1010_at,53.1,57.5,21.5,81.8,47.3,63.8
1011_s_at,240.7,420.6,110,252.6,402.7,494.3
1012_at,1.9,14.4,0.1,-3.2,7.2,18.6
1013_at,2.6,3.9,0.5,10.2,8.3,15.7
1014_at,23.6,38.7,-13.2,49.2,51.8,41.1
1015_s_at,-208.2,-212.7,-112.6,-131.6,-203.9,-192.6
1016_s_at,24.9,-8.6,10.4,3.6,28.9,21.8
1017_at,88.9,99.5,21.2,83.8,109.7,103.8
1018_at,146.7,99.6,45.5,130.7,75,162
1019_g_at,564,560.3,144.8,475.2,437.9,464.4
101_at,-0.9,17.1,19,9.6,18.4,31.6
1020_s_at,305.8,320.6,97.9,274.6,275.5,281.7
1021_at,-10.7,7.7,9,10.5,5.9,-1.1
1022_f_at,-5.8,17,14.4,-17.4,49.3,28.9
1023_at,-77.4,-204.6,-17.9,-166.5,-113.1,-133.7
1024_at,-24.3,0.5,17.8,-0.7,-8.4,-13.9
1025_g_at,-1.4,82.9,10.4,26.9,21.9,17.2
1026_s_at,105.3,4.7,2.2,62.5,43.5,72.3
1027_at,-47.4,-56.9,-26.1,43,47.6,62.6
1028_at,46.5,41.7,38.3,46.5,31.9,29
1029_s_at,-3.6,-13.9,-1.8,-15.4,-9.3,6.1
102_at,19.9,24.8,5,17.7,16,22.9
1030_s_at,739.3,620,204.7,420.2,651.5,675.6
1031_at,188.7,156.4,61.6,116.9,152.8,142.1
1032_at,370.3,399.7,83.9,312.9,285.7,319.7
1033_g_at,41.6,24,18.1,44.7,17.5,60.8
1034_at,143.4,246.1,68.3,162.3,192.1,212.2
1035_g_at,191.8,286.5,102,175.4,120.7,214.9
1036_at,10.3,10,4.8,8.9,-5.8,0.2
1037_at,-28.7,-16.5,-15.4,-21.3,-21.7,-15.9
1038_s_at,452.4,197.7,53.2,163.2,157.2,178.8
1039_s_at,644.1,288.5,146.7,294.4,201.7,298.6
103_at,47.5,39.1,18.9,56.8,65.7,77.6
1040_s_at,118.9,139,34.5,113.6,105.9,68.3
1041_at,-17.8,-18.3,9.1,5.1,-29.1,-19.7
1042_at,9.2,0.9,2.3,5.9,-5.5,-2.1
1043_s_at,9,11.1,12,11,5.5,8
1044_s_at,101.7,98,28.4,78.9,63.6,85.8
1045_s_at,30.8,0.1,-1.8,19.4,16.9,40.9
1046_at,52.6,72.1,19.9,57.2,62.8,62.6
1047_s_at,95.6,29.7,6.2,34.2,11,61.4
1048_at,80.7,88.9,22.6,86.8,83.5,72.7
1049_g_at,-178.9,-146.7,-61.6,-78.5,-229,-223.4
104_at,130.1,137.3,42.5,117.5,126.9,120.2
1050_at,2.9,0.3,2,2.2,-0.6,-1.9
1051_g_at,53.2,74.1,24.6,62.9,67.7,45.4
1052_s_at,2235.2,365.4,451.9,1453.2,334.1,618.4
1053_at,76.3,85.3,27.8,70.6,88.9,80.7
1054_at,21.2,15.9,23.5,20.1,46.2,49.2
1055_g_at,78.8,81.1,26.7,97.9,86.6,54.9
1056_s_at,30.9,7.7,6.4,-2.9,16.9,17.2
1057_at,28.9,-14.6,-4.8,42.4,8.6,40
1058_at,422.2,857,212.9,753.5,467.3,847.3
1059_at,164.9,150.9,25.9,84.1,135.1,117.5
105_at,7.5,14.9,27,-9.3,1.6,3
1060_g_at,186.6,228.4,45.9,200.2,168.2,175.1
1061_at,-5.5,-48.6,-14,-23.8,-15.8,-15.2
1062_g_at,62.6,14.5,23.1,39.8,38.1,15.7
1063_s_at,663.9,793.3,284.4,986.4,785.3,720.1
1064_at,124.2,105.2,58.3,161.6,82.2,108.7
1065_at,28.3,88.6,25.8,49.8,57.6,22.5
1066_at,-53.4,-79.6,-16.3,-34.8,-79.4,-53.2
1067_at,73.8,73,20.2,52.8,65.6,19.4
1068_g_at,-180.7,-267.8,-91.4,-159.4,-242.4,-204.7
1069_at,291.5,22.7,90.1,289,42.9,32.4
106_at,20.9,0.3,14.9,14.5,9.6,12.9
1070_at,181,121.5,18.3,64.3,108,125.9
1071_at,-44.8,-69.4,23,-31.8,-63.7,-64.1
1072_g_at,208.3,302.1,109.1,147.9,251.5,228.1
1073_at,347.1,369.9,103,274.3,426.4,405.5
1074_at,283.1,280.8,113.7,399.7,245.9,373.8
1075_f_at,15.3,13,5.2,7.1,7,15
1076_at,34,41.7,15.5,31.1,29.3,21
1077_at,15.6,-1.3,2.2,-5.8,-3.3,3.9
1078_at,-35,-26.5,6.4,-40.7,-32.5,-14.2
1079_g_at,-81.9,3.9,83.8,98.2,-70.7,-54.9
107_at,-54.8,-89.9,-50.8,-95.9,19.3,45.9
1080_s_at,-38.7,-51,-13.1,-42.9,-50.3,-37.1
1081_at,657,653.7,421,809.6,567.2,640
1082_at,81.5,91.4,32.6,64,47.5,76.9
1083_s_at,114.2,121.1,52.3,82.3,99.8,54.9
1084_at,6.6,-12.9,-9.7,11.3,-33.1,-7.3
1085_s_at,178.9,149.9,75.6,126,146.8,108.9
1086_at,-50.7,-74,-34.8,-22.1,-60,-25.9
1087_at,25,-6.3,1.1,-17.2,-1.1,21.1
1088_at,68,33,32.6,60.5,34.5,32.3
1089_i_at,-101.2,-109.4,-18.3,-11,-137.9,-22.2
108_g_at,91,84.3,24.8,206.4,226.4,214.2
1090_f_at,96.3,157,17.2,25.6,78.7,56
1091_at,2193.3,1736.7,773.5,1592.7,2935.3,2619
1092_at,-169.8,-266.3,-221.8,-182.2,-295.7,-218.1
1093_at,3.3,-4.5,5.2,13.3,3.2,16.6
1094_g_at,-99,-106.7,-15.3,-21.6,-58.6,-50.9
1095_s_at,4,1.8,3.1,-1.4,6.9,0.6
1096_g_at,147.5,175.5,53.7,104,137.9,111.8
1097_s_at,69.4,94.3,30.2,46.6,66.3,37.5
1098_at,5.8,9.4,-3.8,16.2,7.1,-13.9
1099_s_at,-49,-141.1,1.9,11.8,-22.1,-29.5
109_at,293.6,287.2,76.9,301,312,307.2
1100_at,121.8,111,18.3,111.2,101.9,97
1101_at,553,587.9,213.4,556.8,662.2,679.3
1102_s_at,48,81.8,21.4,38.4,97.5,128.6
1103_at,-127,-167.2,-51.7,-136,-101.9,-105
1104_s_at,2493.3,299.6,2486.2,8188.8,277,1363.2
1105_s_at,234.5,476.1,151.1,355.9,468.7,278.1
1106_s_at,161.7,113.8,55.8,153.9,140.1,108.9
1107_s_at,899.5,406.3,265,753,397.4,335.8
1108_s_at,-20.6,-105,-28.9,-98.9,-24.1,-84.3
1109_s_at,-130.5,-253.4,-102.3,-228.8,-234.6,-30.5
110_at,107.6,22,94.2,289.6,305,9.1
1110_at,101.8,172.6,55.9,134.2,131.8,87.2
1111_at,162.6,187.2,137.9,42.1,47.8,145.1
1112_g_at,119.8,83.9,42.8,199,89.3,207.4
1113_at,27.3,-9.7,5.8,60.8,-17.7,-17.6
1114_at,34.5,35.7,16.6,43.2,26,29.1
1115_at,61.9,49.3,18.1,67.2,48.1,44.2
1116_at,121.4,90.3,39.2,132.3,77.5,61.8
1117_at,116.9,338.8,112,357.5,108.4,107.5
1118_at,80.9,-4,44.6,83.2,73.9,60.3
1119_at,500.8,559.2,218.1,542.7,543.4,658.9
111_at,61,119.1,66,90.5,146.2,198.4
1120_at,92.5,98.8,28.7,39.9,164.8,277.2
1121_g_at,92,163.5,8.1,46.3,181.1,271.6
1122_f_at,639.3,799.1,287.2,543.4,592.2,505.3
1123_at,-43.5,-77.7,-53.4,-14.8,-118.8,-39.2
1124_at,102.1,107.3,38.3,156.5,111.9,145
1125_s_at,69.1,36.3,4.6,12.9,33.2,25.8
1126_s_at,120.2,-11.4,-0.2,9.1,-0.2,-1.5
1127_at,57.8,33.8,-5,45.6,38,17.1
1128_s_at,123.9,97.2,68.9,74.7,90,75.9
1129_at,-82.9,-79.8,-12.9,-69,-74.1,-71.5
112_g_at,12.2,9.8,5.7,3.6,10.5,6.8
1130_at,817.8,710.8,394,888.9,1413.5,1459.9
1131_at,505.1,413.3,186.6,564.7,669.5,635.5
1132_s_at,4.2,19.4,17.3,20,23.7,0
1133_at,18.4,14.3,-1.4,-1.9,30.6,20.9
1134_at,1048.4,1024.7,383.7,826,817.4,813.9
1135_at,133.5,129.3,8.8,117.9,158.3,124.4
1136_at,35.5,-8.2,-36.5,48.1,-6,16.3
1137_at,135.8,131.2,36.3,143.3,114.6,149.9
1138_at,420,287.7,93.5,365.4,493.1,450.3
1139_at,38.5,-8.4,3.1,4.4,4.6,33.8
113_i_at,243.6,194.5,69.8,184.2,145.5,230.6
1140_at,44.4,-30.7,12.2,74.5,46.9,9.5
1141_at,170.1,117.8,38.7,112.6,122.1,116
1142_at,80,76.8,24.5,75.7,79,82.9
1143_s_at,21.1,25.4,10,70.3,54.6,60.7
1144_at,-26.5,-41.8,-0.6,18.1,-14.8,-66.5
1145_g_at,-1.9,59.9,13.2,52.5,52.5,25.8
1146_at,13.3,19.6,2.4,14,33.3,15.2
1147_at,331.5,309.8,135.9,375.1,247.1,311.2
1148_s_at,181.6,187,56.7,160.7,147.1,179.4
1149_at,-37.7,-50.5,-26.6,-51.8,-47.7,-39.3
114_r_at,-48.4,-27.6,-26.1,-22.4,-55,-23.1
1150_at,192.3,128.7,47.2,101.5,96.3,134.3
1151_at,1083.5,1279.3,412.1,882.9,882.7,1236.3
1152_i_at,1.2,17.1,15.1,26.5,7,-7.9
1153_f_at,9.3,169.9,259.1,88.7,263.8,-188.3
1154_at,175,153.4,44.2,174,133.2,188.3
1155_at,306.3,369,120.3,297.2,314.5,253.9
1156_at,24.9,16.2,11.8,12.9,21.1,22.2
1157_s_at,70.3,54,22.9,2.1,52.9,62.2
1158_s_at,2460.6,2658.9,938.9,1745,3380.6,3155
1159_at,-1,9.3,-1.8,1.1,0.1,0.8
115_at,-62.6,-107.2,-28.1,-40.8,-75.9,-102.3
1160_at,542.9,670.1,225.3,724.4,777.1,892.5
1161_at,4449.5,3347.1,1701,4761.3,4113.8,4830.6
1162_g_at,158.9,136,42.6,159,180.2,169.6
1163_at,99.6,108.7,37.2,61.6,125.2,169.2
1164_at,99.3,84.1,34.3,89.1,81.6,2.1
1165_at,30,15.5,9.8,14,6.8,19.5
1166_at,849,904,296.3,930.2,1065.1,1261.1
1167_s_at,20.9,65.1,77.1,125.3,-93.7,55
1168_at,17.1,19.6,0.4,21.4,23.6,26.4
1169_at,-14.2,59.7,18.2,27.8,26.9,12.8
116_at,33.7,47.1,25.1,39.1,28.5,51.4
1170_at,154.7,181.7,65.9,149.8,147.4,142.2
1171_s_at,81.3,83.8,21.9,119,86.3,40.1
1172_at,-127.2,-144.7,-132.2,-106.9,-134.1,-115.1
1173_g_at,4740.7,1323.1,774.5,1852,973.4,1298.5
1174_at,-15.5,-40.4,-6.2,-21.9,-34.7,-1
1175_s_at,61.1,88.1,48.2,35.7,79.4,58.5
1176_at,88.9,119.7,35.9,34.8,95.1,110.2
1177_at,89.6,121.9,36.2,70,108.3,68.8
1178_at,13.7,23.4,9.3,19.7,35.3,22.9
1179_at,3456.6,2477.1,1095.5,2608.7,2569.4,2863.8
117_at,171.9,75.9,222.9,647.4,93.8,66.8
1180_g_at,4031.9,3723.7,2401.8,4321,4033.7,3307.7
1181_at,-45.6,-91.1,13.1,-45.4,55.9,-8.1
1182_at,91.3,73.3,32.9,91.5,80.1,93.4
1183_at,1.5,21.7,9.3,31.4,22.6,9.9
1184_at,497.2,253.4,72.8,303.6,217.6,233
1185_at,45.7,14.7,14.1,34.4,-12.3,-53.8
1186_at,68.9,21.6,4.3,4.5,6.7,51.9
1187_at,43.1,-44.1,-16.8,35.6,66.4,34.7
1188_g_at,22.3,-15,-24.6,-6,-27.1,-0.2
1189_at,104.2,119.4,40.5,90,96.1,122.4
118_at,474.5,482.1,96.7,365.7,610,487.6
1190_at,63.4,38.6,11,40,57.9,74.3
1191_s_at,375.5,367.4,122.7,375.4,478.9,491
1192_at,454.1,540.6,166.1,331.6,670.2,596.9
1193_at,-149.3,-155.8,62.3,-140.1,-110.9,-106.4
1194_g_at,62.7,59.8,5.6,5.8,88.3,70.7
1195_s_at,144.1,317.4,51.9,128.5,197.8,163.2
1196_at,51.8,-21.7,2.3,10.7,-9.8,-6.4
1197_at,6.7,-10.5,-4.8,5.2,1.2,4.8
1198_at,27.2,89.3,22.7,54,16.2,103.5
1199_at,1260.1,696.6,220.8,810,577.5,834.6
1200_at,-72,-92.2,-36.4,-61.9,-76.4,-88.1
1201_at,188.2,95,45.5,146.9,130.7,195.6
1202_g_at,246.1,90.6,42.8,193,184.7,183.8
1203_at,9.6,0.2,11.2,-4.1,7.3,6.6
1204_at,-44.6,-70.9,-42.9,-47.1,-57.8,8
1205_at,13.8,4,-8.2,3.2,4.5,11.9
1206_at,371.5,523.6,243.1,538,627.8,555.4
1207_at,89.8,55.9,19,48.3,65.6,58.4
1208_at,-124.8,-114.3,10.1,-67.4,-109.9,-78.1
1209_at,31.1,17.1,16.6,22.8,-1.6,2
120_at,63.1,70.2,25.9,21.5,8.7,13.4
1210_s_at,-69.5,-105.7,-55.3,-48.7,-57.9,-60.8
1211_s_at,78.8,93.2,38.3,93.6,99.2,105.6
1212_at,-44,12.1,-29.8,13.8,-13.7,-1.8
1213_at,485.8,429.3,190,299.9,501,622.4
1214_s_at,-13.9,-13.7,-13.5,-19.2,-30.1,-25.8
1217_g_at,1089.7,1439.9,615.1,1540.8,1676,1007.7
1218_at,46.3,7.2,-56,14.7,28.6,169.4
1219_at,-60.9,-66.4,-34.7,-62.2,-65.1,-13
121_at,774.5,837.3,278.9,538.4,757.7,900
1220_g_at,125.6,134.9,57.9,140.3,158.2,142.4
1221_at,18.8,66.3,15.6,50,39.2,61.2
1222_at,115.6,54.4,54.7,69.7,90.3,152.8
1223_at,149.5,124.5,-5.5,80,169.5,161
1224_at,255.7,408,141.1,259.1,317.7,343.6
1225_g_at,402.8,742.4,208.2,390.9,571.8,595.1
1226_at,64.9,43.8,26.3,78.1,13.3,10.8
1227_g_at,3,-55.5,-22.9,-11.3,-23.8,-61.4
1228_s_at,170.3,149.9,65.6,146.8,129.9,122.5
1229_at,112.1,49.6,15.1,52.8,44.7,47.8
122_at,-30.2,26.1,6,-15.4,-18.5,-17.2
1230_g_at,68.9,-33.1,-46.3,55.2,-47.1,-36.6
1231_at,65.8,70.3,8.8,55.1,69.3,65.5
1232_s_at,79.8,51.8,14.7,48.6,56.6,52.8
1233_s_at,-240.5,-175,-33.8,-207.5,-207.4,-232.9
1234_at,20.5,45.2,8,10.7,11.6,28.8
1235_at,2430.1,2948.9,1298.3,1704.3,3229.6,3147.4
1236_s_at,45.8,30.5,-0.3,35.1,-71.8,-0.8
1237_at,204.8,41.3,15.9,43.3,68.9,48.5
1238_at,224.9,422,145.9,240.7,430.1,525.2
1239_s_at,-10.8,-21.5,4.6,-38.1,10,4.4
123_at,29.8,36.8,16.4,35.6,33.7,40.6
1240_at,123.1,167.9,67.4,162.4,126.7,249.3
1241_at,1131.6,1204.2,453,1553.3,1508.2,936.2
1242_at,150.4,125.7,39.1,154.9,74.6,76.1
1243_at,66,55.7,34.2,99.3,63.9,75.9
1244_at,254.5,241.9,157.7,228.1,240.7,231.7
1245_i_at,51.6,33.7,11.7,17,27.2,28.4
1246_at,151.2,201.6,126.9,51.7,136.3,57.3
1247_g_at,-10.4,-46.6,-1.7,39,-3.4,-16.7
1248_at,356.1,290.4,122,307.4,280.9,299.2
1249_at,4.4,14.3,4,27.8,24.6,25.1
1250_at,152.8,125.6,34.9,111.6,158,122.6
1251_g_at,900.4,819.7,256.4,936.3,952,1049.1
1252_at,2141.7,2135.5,889.2,1963.9,2608.1,2340
1253_at,101,82.8,28.6,115.9,105.9,130.6
1254_at,212.6,146.1,115.4,152.9,111.6,134.3
1255_g_at,119.7,172.3,27.1,84.3,99.5,116.4
1256_at,175.4,206.1,110.4,181.4,339,312
1257_s_at,164.7,112.8,52.5,105.9,140.2,148.7
1258_s_at,105.8,57,49.6,179,112.1,107.8
1259_at,-25.9,-25,74.1,-8.5,72.2,200.6
1260_s_at,-114.6,-262.1,-60.6,-147.2,-187.8,-239.1
1261_i_at,10,-38.9,-25.3,-29.5,9.7,-12
1262_s_at,22.1,23.5,6,14.1,3.9,51.5
1263_at,9.9,-6.8,64.5,88.1,9.1,-8.2
1264_at,32,23.4,2.6,20.9,11.3,20.1
1265_g_at,60.8,30.4,18.9,39.8,19.5,23.5
1266_s_at,-1.7,-34.7,14.3,-8.2,-19.1,-27.6
1267_at,68.6,-24.7,-7.5,44,1.1,-22.8
1268_at,1283,1250.6,500.7,1192.8,1559.9,1707.9
1269_at,535.2,394,172.2,499.8,343.3,377.9
126_s_at,1.1,-4.5,-4.3,-7.2,-1.8,1.3
1270_at,740.1,829.3,346.4,806.7,944.3,1183.4
1271_g_at,461.8,358.1,163.3,248.4,358.3,352.4
1272_at,27.3,34,11,73,46.3,47.2
1273_r_at,390,428,146.1,353.5,518.2,340
1274_s_at,378.4,181.6,43.9,271.5,269.1,323.6
1275_at,15.4,21.1,2.9,6.4,9.6,15.3
1276_g_at,87.6,85.8,45.2,102,52.5,63.4
1277_at,261.4,296,66.6,152.7,158.8,147.2
1278_at,14.8,39,18,36.9,-3.5,42.2
1279_s_at,-44.6,-5.3,-6.4,-16.4,-1,2.5
1280_i_at,75.4,90.9,95.7,80.6,60.3,142.1
1281_f_at,-19.6,-66.4,-3.3,2.1,-24.4,-19.4
1282_s_at,-11.2,-35.2,-4,6.4,-31.5,-37.9
1283_at,14.1,-8.7,-2.1,3.8,1.6,19
1284_at,73.5,110.3,13.3,34.8,91.1,60
1285_at,0.5,5.5,-5,-3.8,-14.3,16.6
1286_s_at,1.2,-0.8,0.5,-6.4,-1,4.9
1287_at,416.3,546.7,162,415.5,572.2,509.1
1288_s_at,6655.1,5979,3286.6,6597.8,6622.1,5634.8
1289_at,223.8,208.2,21.3,166.1,108.9,210.9
128_at,-38.2,-49.6,7.2,-16.6,-43.8,4.8
1290_g_at,-48.7,142.9,23.1,75.6,-25.9,-18.1
1291_s_at,44.2,49.2,16.2,96.7,43.4,29
1292_at,1.8,-87.7,-54.8,-9,-23.8,-47.8
1293_s_at,-56.2,-166,-27.1,-36.1,-79.7,-32.9
1294_at,162.6,194.2,48.4,93.8,201.2,162.7
1295_at,522.6,332.1,127.1,333.1,253.6,249.2
1296_at,180.3,46.1,64.5,158,60.2,132.8
1297_at,-78.4,-127.1,-59.9,-63.5,-113.2,-210.6
1298_at,-2.6,-13.6,8.9,2.4,-3.3,-10.2
1299_at,19.9,22.6,12.9,23.9,27.4,37.2
129_g_at,5.9,-18.5,-13.1,6.2,-4.5,-0.1
1300_at,301.9,298.9,98.6,147,165.3,183.6
1303_at,-75.9,-113.7,-11.2,-44.5,-62.7,-62.7
1304_at,9.4,3.3,4.2,18,8.7,16.1
1305_s_at,42.1,49.1,-3.6,50.4,53.2,19.5
1306_at,60.5,86.3,133.7,80,93.8,147.7
1307_at,100,116,30.1,138.4,130.4,117.3
1308_g_at,107.2,105,43.8,160,117.1,138.2
1309_at,552.9,436.4,146.6,478.9,532.5,422.6
130_s_at,-135.3,-113.4,-74.9,-121.7,-101,-111.5
1310_at,815.5,867.6,247.3,633.6,1015.2,1004.5
1311_at,704.4,594.3,213.3,748.8,648.5,857.5
1312_at,921.9,895.5,319.8,950.3,1051.3,1084.9
1313_at,488.5,533.5,163.4,655,763.3,687.1
1314_at,556.6,689.2,334.6,770.7,878.3,881.4
1315_at,5995.7,5821,2547,7138.3,6832.2,5596.8
1316_at,144,138.6,66.5,119.4,102,113.9
1317_at,0.5,18.8,4.8,-22.5,-16,-21.3
1318_at,180.5,157.8,57.5,155.1,215.6,284.1
1319_at,20.5,15.4,11.4,11,22.7,28.3
131_at,125.9,81.8,16.5,114.1,116,80.6
1320_at,40.5,-39,3.1,37.4,23.8,39.8
1321_s_at,25.7,-13,10.8,-22.4,-16.9,-10.1
1322_at,138.7,88,62.1,102.7,118.2,97.6
1323_at,4975,5355,2525.6,6590,6137.6,5181.7
1324_at,-18.5,28.1,-20.9,-28.3,-121.7,23.4
1325_at,285.6,258.3,70.3,255,171.6,191.9
1326_at,69.7,67.3,25.2,81.5,49,45.6
1327_s_at,340.6,322.7,101.9,308.7,297.8,425.1
1328_at,13.5,8.5,4,14.9,11.4,15.9
1329_s_at,2.6,67.3,19.1,6.1,-0.1,9.1
1330_at,-179.7,-169.6,-80.8,-147.2,-149.4,-162.9
1331_s_at,96,89.7,32.7,38.5,59.5,53
1332_f_at,58.9,100.1,7.9,56.7,72.6,60.4
1333_f_at,17.8,19.5,39.5,66.9,42.8,151.4
1334_s_at,42.9,-156.9,-5.1,-26.9,-114.6,-41.2
1335_at,-166.8,-193.9,-74.4,-122.6,-182.2,-163.1
1336_s_at,1364.9,2335.6,836.6,2095.7,2653,1863.7
1337_s_at,-2.6,-22.4,-15.2,-19.4,-9.2,-0.3
1338_s_at,30.9,26.6,26.1,38.7,19.4,28.6
1339_s_at,252.9,251.6,119.3,192.6,232,229.8
133_at,181.7,83.3,25.4,75.2,80.5,94.7
1340_s_at,-31.2,-31.8,-18.3,-22.4,-17.3,-12.4
1341_at,23.3,-13.1,-4.4,15.5,6.5,-10.9
1342_g_at,58.5,45,20.6,56.1,39.6,39.7
1343_s_at,1.6,8.4,-5.9,-8.9,7.2,2.7
1344_at,-45.7,-2.4,-10,-19.3,-65.2,-17.4
1345_s_at,-35.6,-48.3,-14.9,-29.4,-34.5,-42.7
1346_at,3577.1,4578.1,1721.1,3859.2,3348.7,4764.6
1347_at,211.6,236,46.7,184.4,190,203.6
1348_s_at,94.2,136.1,18.5,105.1,111,170.2
1349_at,1.6,-14.1,25.2,-8.1,-0.4,0.6
134_at,0,-42.8,-2.3,23.8,-18.4,54.5
1350_at,29.4,38.2,12.8,22.7,4.5,21.2
1351_at,10,16.8,-12.2,21.7,14.5,-12.9
1352_at,41.8,35.1,7.3,8.2,103.3,77.7
1353_g_at,60.1,26.4,46.8,66.2,14.5,3.3
1354_at,124,117.2,65.2,138.6,115.6,134.4
1355_g_at,400.7,443.7,176.8,333.6,491.3,434.5
1356_at,326.3,258,57.7,266.4,224.2,267.9
1357_at,321.4,273.2,58.4,227.3,246.5,243.4
1358_s_at,85.4,46.4,119.1,332.4,84.9,59.6
1359_at,2.1,-32.4,-18.4,-42.9,-32.5,-28.7
135_g_at,50.7,141,28.5,104.2,124.5,190.9
1360_at,26.6,18.4,12.4,31.9,22.2,13.5
1361_at,223.1,179.4,62.8,230.6,133,218.5
1362_s_at,146.4,164.1,56.7,203.6,151.9,195.1
1363_at,24.3,162,20.7,129.3,109.5,153.2
1364_at,348.4,683,224.7,528.6,223.4,343
1365_at,-30.5,-28.3,10,-7.6,-19.1,-23.8
1366_i_at,6220.5,5804.3,3139.5,6320,5768.8,4154.1
1367_f_at,6981.5,5784.7,3516.3,7882.8,6379.9,5837.3
1368_at,154.1,21.6,21.8,60.8,15.9,42.1
1369_s_at,1972.8,-123.1,-5.8,-32.1,-91.4,-133.2
136_at,-58.5,-120.7,3.7,41,-103.6,-282.4
1370_at,103.4,108.9,66.6,83.5,75.7,60.7
1371_s_at,-62.4,-83.4,18.6,15.5,5.8,-44.8
1372_at,215.5,44.9,19.5,36.7,30.7,40.5
1373_at,30.5,73.3,24.2,52,27.5,25
1374_g_at,-706.6,-994.6,-491.5,-716.3,-966.1,-838.8
1375_s_at,268.6,-49.5,-11.7,7.6,-14.5,34.6
1376_at,-108,-135.1,-30,-91.9,-114.1,-103.8
1377_at,175.5,21.1,18.9,64.4,73.8,29.8
1378_g_at,68.1,-25.6,-10.8,63.4,39.6,18.9
1379_at,-1.7,-29.9,-27.6,-8.8,-38.5,-13
137_at,117.6,116.8,17.6,27.3,33.6,90.8
1380_at,30.7,51.2,25.8,26.4,39.2,102
1381_at,14.9,34.5,27.1,62.1,0,21.1
1382_at,6.1,11.8,3.1,34.4,32.7,46.6
1383_at,388.3,260.2,108.8,232.9,342.9,382.6
1384_at,-20.9,-4,0.2,-14.3,-22.5,-11.1
1385_at,93.9,-0.1,5.5,58.7,0.5,16.6
1386_at,426.6,331.5,116.1,198.6,277.5,423.4
1387_at,-63.2,-107.7,-47.6,-44.6,-81.6,-56.4
1388_g_at,4,7.9,8.5,8.8,9.6,-0.9
1389_at,62.5,34.7,99.5,115.2,115.3,8.4
138_at,16.6,78.2,38.6,70.2,69.6,29.7
1390_s_at,62.9,79.3,40,73.3,77.5,99.6
1391_s_at,-96.6,-31,-25.5,-116,-49.5,-51.4
1392_at,183,264.4,80.6,385.7,71.1,92.7
1393_at,25.4,11.2,10.3,8.5,17,13.1
1394_at,956.1,837.2,267.6,790.5,784,923
1395_at,263.7,270.3,51.6,190.1,152.5,210.7
1396_at,282.3,402.4,113.1,298.3,183.7,429.8
1397_at,-15.7,-34,-85.8,-37.9,-32.9,-33.4
1398_g_at,344.8,367.4,39.7,444.6,412.5,270.8
1399_at,1165.6,1036,379.9,1021.9,1068.7,1029.4
139_at,17.1,77.7,11.4,62.8,95.6,46.3
1400_at,25,10.9,-21.9,21.4,-15.4,-34.6
1401_g_at,-84.2,-94.6,-50,-96.7,52,35.9
1402_at,446.2,102.3,16,65.4,37.3,83.1
1403_s_at,24.9,30.1,14.6,40.7,28.9,7.8
1404_r_at,-19.2,-19.3,0,-12.9,-12.8,-9.6
1405_i_at,-28.9,-56.1,-7,-17.2,-45.6,-28.2
1406_at,38.6,76.7,19.6,96,41.3,149.5
1407_g_at,30.9,44.8,5.7,26.4,44,26.7
1408_at,-18.8,-23.8,-8.4,-16.4,-13.2,-7.6
1409_at,251.4,253.8,90.6,286,220.4,252.2
140_s_at,386,411.5,166.9,503.1,457.5,421.8
1410_at,-60.9,-94.5,-72.7,-46.8,-87.7,-88.7
1411_at,51.3,86.6,1.3,12.6,82.3,89.8
1412_g_at,-21.4,-37.4,-19.9,-8.7,-31.6,-5.8
1413_at,-15.7,-37.3,-7.7,-23,-18.1,-19
1414_at,-58.6,-61.7,-25.4,-39.1,-50.7,-48.2
1415_at,560.6,525.7,236.1,475.4,507.3,452.6
1416_g_at,22.7,-6.6,1.9,19.9,-2.5,10.1
1417_at,7.3,3.1,-2,4.7,10,7.2
1418_at,-73.3,-93.4,-32.4,-78.2,-75.7,-90.3
1419_g_at,126.1,129.6,-14.7,23.9,86,112.2
141_s_at,-41.3,4.9,23.8,31.7,-41.3,1
1420_s_at,4980.8,4540.7,2200.9,4936.1,6204.2,5162.2
1421_at,70.4,73.6,23.4,82.7,68.6,114.3
1422_g_at,77,63,34.1,81.1,98.5,75.4
1423_at,104,104.3,47.3,123.2,97.2,120.2
1424_s_at,7005.5,7221.5,4022.3,8070.5,8481.5,7418.9
1425_at,2.3,4.1,-25.7,18,0.2,6.1
1426_at,561.1,248.6,128.1,180.4,143.6,164.8
1427_g_at,294.1,93.3,52.6,149.1,45.6,54.5
1428_at,-3.7,-11.8,3.7,-8.7,-11.6,-20.7
142_at,-20.8,-51.5,-13.3,-11,-34.6,-18.8
1430_at,1257.8,1298.8,493,1440.8,828.4,921.8
